127.0.0.1 - - [19/Aug/2016:10:10:05 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:10:05 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:10:05 +0530] "GET /AngularExamples/Scripts/angular.js HTTP/1.1" 200 1070726
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:10:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:11:43 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:12:24 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:12:40 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:13:31 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:15:14 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:21:45 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:21:45 +0530] "GET /AngularExamples/Scripts/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:21:51 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:21:51 +0530] "GET /AngularExamples/Scripts/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:22:25 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:22:25 +0530] "GET /AngularExamples/Scripts/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:22:32 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:10:22:42 +0530] "GET /AngularExamples/TwoWayBinding.html HTTP/1.1" 200 1065
